Time [s],Value,Parity Error,Framing Error

TX1
01 A4 80 03 00 08 02 00 06 01 01 01 0C 04 00 BA DE
2.7478090625,'5' (0x05),,
2.74809575,'2' (0x02),,
2.7483824375,'7' (0x07),,
2.7486691875,'255' (0xFF),,
2.7489559375,'3' (0x03),,
2.749242625,'0' (0x00),,
2.7495293125,'2' (0x02),,
2.7498160625,` (0x60),,			(Current[A] #2)
2.7501028125,'0' (0x00),,
2.7503895,'209' (0xD1),,
2.7506761875,, (0x2C),,
**********************************************************************


TX13
01 A4 80 03 00 08 02 00 05 02 06 FF 04 00 00 A3 EA
2.776157875,'1' (0x01),,
2.7764183125,'164' (0xA4),,
2.77667875,'128' (0x80),,
2.7769391875,'3' (0x03),,
2.777199625,'0' (0x00),,
2.7774600625,'8' (0x08),,
2.7777205,'2' (0x02),,
2.7779809375,'0' (0x00),,
2.778241375,'5' (0x05),,
2.778501875,'2' (0x02),,
2.7787623125,'6' (0x06),,
2.77902275,'255' (0xFF),,
2.7792831875,'4' (0x04),,
2.779543625,'0' (0x00),,
2.7798040625,'0' (0x00),,
2.7800645,'163' (0xA3),,
2.7803249375,'234' (0xEA),,

RX13
01 A4 80 00 03 0A 02 03 05 02 06 FF 04 00 02 23 00 E1 B8
2.7895135,'1' (0x01),,
2.7898000625,'164' (0xA4),,
2.7900868125,'128' (0x80),,
2.7903735,'0' (0x00),,
2.79066025,'3' (0x03),,
2.7909469375,\n (0x0A),,
2.7912336875,'2' (0x02),,
2.791520375,'3' (0x03),,
2.791807125,'5' (0x05),,
2.7920938125,'2' (0x02),,
2.7923805625,'6' (0x06),,
2.79266725,'255' (0xFF),,
2.792954,'4' (0x04),,
2.7932406875,'0' (0x00),,
2.7935274375,'2' (0x02),,
2.793814125,# (0x23),,			(Temperature #2)
2.794100875,'0' (0x00),,
2.7943875625,'225' (0xE1),,
2.7946743125,'184' (0xB8),,
**********************************************************************


TX14
01 A4 80 03 00 08 02 00 05 02 06 FF 39 00 00 6F 7B
2.80618675,'1' (0x01),,
2.8064471875,'164' (0xA4),,
2.806707625,'128' (0x80),,
2.8069680625,'3' (0x03),,
2.8072285,'0' (0x00),,
2.8074889375,'8' (0x08),,
2.807749375,'2' (0x02),,
2.8080098125,'0' (0x00),,
2.80827025,'5' (0x05),,
2.8085306875,'2' (0x02),,
2.808791125,'6' (0x06),,
